No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
149,bmg2019ahpm,2019-01-05T03:45:51.758142Z,-2.153613806,120.6200562,3.169538511,MLv,20,9,168.0049515,"Sulawesi, Indonesia",BMKG
150,bmg2019ahel,2019-01-04T22:12:18.52608Z,-0.9382141829,119.9163361,3.241729365,MLv,10,14,90.79581833,"Minahassa Peninsula, Sulawesi",BMKG
151,bmg2019agyw,2019-01-04T19:23:17.485159Z,-2.85096693,119.5201874,2.416393737,MLv,10,7,213.7655182,"Sulawesi, Indonesia",BMKG
152,bmg2019agxb,2019-01-04T18:28:08.202151Z,0.00444865087,123.0117493,3.761281302,MLv,174,20,74.8567543,"Minahassa Peninsula, Sulawesi",BMKG
153,bmg2019agvo,2019-01-04T17:42:52.8978Z,-1.579569936,120.1315918,3.025947049,MLv,10,13,123.7584686,"Sulawesi, Indonesia",BMKG
154,bmg2019agty,2019-01-04T16:53:32.419025Z,-5.573660851,121.8702164,2.529204989,MLv,10,8,164.4783325,"Sulawesi, Indonesia",BMKG
155,bmg2019aggy,2019-01-04T10:19:29.47566Z,0.3991599679,122.1102753,3.780878091,MLv,164,17,85.50685883,"Minahassa Peninsula, Sulawesi",BMKG
156,bmg2019agbq,2019-01-04T07:38:36.65714Z,-0.3020323217,124.0678177,3.278978107,MLv,57,12,108.3055573,Southern Molucca Sea,BMKG
157,bmg2019afqm,2019-01-04T02:00:29.977322Z,-0.1177304536,123.3838654,3.263551737,MLv,94,9,85.48565674,"Minahassa Peninsula, Sulawesi",BMKG
158,bmg2019afnr,2019-01-04T00:35:22.13834Z,-0.6282859445,119.7763443,2.710052125,MLv,10,5,199.5748382,"Minahassa Peninsula, Sulawesi",BMKG
159,bmg2019aflt,2019-01-03T23:36:42.156373Z,0.5279830694,121.1644287,2.844966815,MLv,34,6,102.5837555,"Minahassa Peninsula, Sulawesi",BMKG
160,bmg2019afll,2019-01-03T23:27:54.962962Z,-0.3268613815,123.2841034,2.761920442,MLv,65,5,250.918335,"Minahassa Peninsula, Sulawesi",BMKG
161,bmg2019afjr,2019-01-03T22:34:13.076472Z,-3.52354002,119.6443253,2.340744795,MLv,15,7,143.9846992,"Sulawesi, Indonesia",BMKG
